B17001_002E,state,place,year
1896,41,71950,2020
94,41,72400,2020
1109,41,72500,2020
208,41,72600,2020
286,41,72800,2020
135,41,72820,2020
1567,41,72950,2020
201,41,73225,2020
4203,41,73650,2020
637,41,73700,2020
816,41,74000,2020
137,41,74400,2020
133,41,74550,2020
81,41,66150,2020
634,41,74650,2020
1418,41,74850,2020
2824,41,74950,2020
0,41,75050,2020
89,41,75150,2020
54,41,75185,2020
58,41,75500,2020
62,41,75550,2020
14,41,75600,2020
953,41,75650,2020
218,41,75850,2020
8,41,76250,2020
432,41,76600,2020
402,41,77050,2020
219,41,77250,2020
307,41,78000,2020
48,41,78150,2020
8,41,78160,2020
58,42,36592,2020
321,42,36616,2020
74,42,36640,2020
0,42,36712,2020
155,42,36768,2020
3196,42,36816,2020
9,42,36888,2020
302,42,36904,2020
195,42,36944,2020
301,42,37000,2020
263,42,37008,2020
13,42,37016,2020
40,42,37024,2020
0,42,37136,2020
97,42,37192,2020
520,42,37208,2020
54,42,37304,2020
23,42,37496,2020
24,42,37544,2020
35,42,37552,2020
21,42,37584,2020
232,42,37640,2020
12,42,37656,2020
188,42,37696,2020
14,42,37728,2020
1761,42,37784,2020
1,42,37792,2020
42,42,37880,2020
63,42,37944,2020
318,42,37955,2020
199,42,38000,2020
159,42,38048,2020
252,42,38096,2020
89,42,38104,2020
385,42,38128,2020
33,42,38152,2020
510,42,38160,2020
364,42,38200,2020
0,42,38240,2020
270,42,38248,2020
6409,42,38288,2020
0,42,38392,2020
122,42,38400,2020
0,42,38514,2020
16,42,38528,2020
22,42,38632,2020
99,42,38640,2020
542,42,38688,2020
35,42,38744,2020
59,42,38768,2020
79,42,39056,2020
3,42,39224,2020
169,42,39256,2020
192,42,39272,2020
316,42,75568,2020
88,42,75574,2020
60,42,75584,2020
314,42,75648,2020
349,42,75664,2020
45,42,75712,2020
20,42,75728,2020
1108,42,75816,2020
395,42,75832,2020
190,42,75888,2020
58,42,75936,2020
30,42,75944,2020
0,42,75968,2020
1417,42,76032,2020
1349,42,76104,2020
50,42,76144,2020
799,42,76184,2020
10,42,76232,2020
595,42,76304,2020
308,42,76320,2020
66,42,76336,2020
104,42,76400,2020
4,42,76432,2020
5,42,76440,2020
62,42,76496,2020
167,42,76536,2020
53,42,76552,2020
16,42,76560,2020
81,42,76584,2020
39,42,76632,2020
474,42,76648,2020
74,42,76696,2020
170,42,76724,2020
55,42,76744,2020
126,42,76808,2020
94,42,76848,2020
20,42,76880,2020
1174,42,76904,2020
104,42,77016,2020
101,42,77104,2020
0,42,77144,2020
48,42,77163,2020
208,42,77168,2020
132,42,77184,2020
36,42,77232,2020
251,42,77272,2020
294,42,77288,2020
55,42,77304,2020
115,42,77335,2020
121,42,77392,2020
201,42,77424,2020
137,42,77448,2020
342,42,77456,2020
47,42,77488,2020
204,42,77520,2020
5,46,21340,2020
0,46,21380,2020
372,46,21540,2020
55,46,21820,2020
0,46,22070,2020
10,46,22100,2020
56,46,22260,2020
611,46,22340,2020
20,46,22580,2020
19,46,22860,2020
311,46,23020,2020
16,46,23140,2020
5,46,23220,2020
0,46,23421,2020
3,46,23460,2020
21,46,23820,2020
30,46,23860,2020
16,46,23900,2020
26,46,23980,2020
117,46,24260,2020
34,46,24540,2020
14,46,24620,2020
77,46,24760,2020
4,46,24820,2020
0,46,25020,2020
0,46,25741,2020
0,46,25743,2020
22,46,25900,2020
367,46,26035,2020
0,46,26150,2020
197,46,26180,2020
20,46,26220,2020
116,46,26340,2020
0,46,26660,2020
206,46,27260,2020
0,46,27300,2020
4,46,27420,2020
111,46,27540,2020
52,46,27820,2020
8,46,27940,2020
39,46,27980,2020
42,46,28140,2020
36,46,28300,2020
0,46,28340,2020
4,46,28420,2020
4,46,28460,2020
52,46,28980,2020
74,46,29100,2020
0,46,29116,2020
0,46,29300,2020
0,46,29340,2020
1,46,29500,2020
148,46,30056,2020
8,46,30140,2020
562,46,30220,2020
866,49,18910,2020
31,49,19020,2020
33,49,19680,2020
2171,49,20120,2020
250,49,20340,2020
0,49,20450,2020
0,49,20780,2020
2261,49,20810,2020
4,49,20850,2020
377,49,20890,2020
0,49,21880,2020
46,49,21990,2020
0,49,22210,2020
94,49,22370,2020
15,49,22540,2020
8,49,22650,2020
23,49,22760,2020
47,49,22870,2020
110,49,22875,2020
840,49,23200,2020
32,49,23310,2020
75,49,23420,2020
1283,49,23530,2020
31,49,23640,2020
176,49,23750,2020
152,49,24080,2020
1,49,24410,2020
152,49,24630,2020
810,49,24740,2020
157,49,24850,2020
59,49,25070,2020
231,49,25180,2020
66,49,25290,2020
227,49,25510,2020
5,49,25910,2020
255,49,26610,2020
121,49,26720,2020
56,49,26940,2020
24,49,27270,2020
220,49,27490,2020
154,49,27902,2020
25,49,18140,2020
2,49,27930,2020
362,49,28150,2020
102,49,28810,2020
168,49,29360,2020
13,49,29580,2020
84,49,30130,2020
128,49,30900,2020
590,49,31120,2020
167,49,31670,2020
257,49,32660,2020
93,49,33002,2020
0,49,33027,2020
16,49,33100,2020
143,49,33540,2020
0,49,33760,2020
842,49,34200,2020
226,49,34530,2020
62,51,60296,2020
0,51,60392,2020
29,51,60488,2020
87,51,60512,2020
8,51,60536,2020
72,51,60680,2020
45,51,60840,2020
311,51,60888,2020
415,51,60920,2020
149,51,60984,2020
291,51,61208,2020
197,51,61336,2020
169,51,61464,2020
1026,51,61560,2020
6856,51,61832,2020
55,51,61896,2020
437,51,62264,2020
13,51,62738,2020
303,51,63190,2020
85,51,63288,2020
606,51,63768,2020
79,51,63896,2020
29,51,63928,2020
14309,51,64000,2020
613,51,64152,2020
290,51,64272,2020
33,51,64288,2020
0,51,64384,2020
49,51,64512,2020
111,51,64560,2020
2110,51,64880,2020
51,51,64976,2020
265,51,65008,2020
66,51,65120,2020
64,51,65128,2020
114,51,65280,2020
5883,51,65392,2020
739,51,65744,2020
77,51,65776,2020
37,51,66032,2020
76,51,66512,2020
3861,51,66672,2020
130,51,66896,2020
1484,51,66928,2020
45775,51,67000,2020
148,51,67208,2020
18,51,67256,2020
695,51,67288,2020
0,51,67304,2020
98,51,67331,2020
123,51,67352,2020
245,51,67704,2020
19586,51,68000,2020
584,51,68470,2020
