B15003_017E,state,place,year
8769,24,72450,2019
8379,24,32025,2019
,08,36410,2019
17243,10,77580,2019
67492,11,50000,2019
27841,09,08000,2019
21973,09,80000,2019
50025,13,04000,2019
12663,17,07133,2019
23986,17,38570,2019
,12,17935,2019
23356,12,45060,2019
6984,26,42160,2019
,27,71428,2019
9450,27,56896,2019
11482,27,07966,2019
13133,26,49000,2019
11621,06,11530,2019
15798,06,15044,2019
15076,06,84550,2019
9841,06,73262,2019
38457,06,54652,2019
14349,22,41155,2019
7814,24,19125,2019
99591,24,04000,2019
,13,68516,2019
37727,13,04204,2019
9617,13,03440,2019
,13,42425,2019
60975,12,71000,2019
13854,12,70675,2019
29612,12,32000,2019
10692,12,57425,2019
44917,12,10275,2019
,12,75875,2019
,25,45560,2019
23174,25,37000,2019
16732,25,23000,2019
17696,26,46000,2019
33593,06,49270,2019
12388,25,55745,2019
4192,25,11000,2019
,18,54180,2019
,20,64500,2019
,18,10342,2019
17286,18,31000,2019
19774,12,72145,2019
9381,12,07300,2019
19956,12,38250,2019
23310,28,36000,2019
8058,26,69035,2019
34942,27,58000,2019
7650,06,68252,2019
51968,06,03526,2019
27162,06,16350,2019
13899,06,62938,2019
13482,06,13210,2019
36074,06,65000,2019
,05,15190,2019
,19,83910,2019
8767,08,12815,2019
,17,02154,2019
13508,17,14351,2019
14578,12,56825,2019
,12,35875,2019
17442,12,12875,2019
17851,25,45000,2019
14381,25,37490,2019
31712,25,82000,2019
13660,27,54880,2019
11180,06,68196,2019
21063,06,70098,2019
10972,06,36770,2019
10639,05,50450,2019
65071,06,27000,2019
21970,06,53322,2019
26579,20,36000,2019
,18,23278,2019
10200,24,30325,2019
,24,26000,2019
14474,08,27425,2019
,08,46465,2019
35318,12,55775,2019
19351,12,58050,2019
11961,12,25175,2019
15950,12,39425,2019
16410,12,76600,2019
24645,12,39925,2019
360163,17,14000,2019
28006,13,19000,2019
11407,26,21000,2019
123629,26,22000,2019
6204,06,00562,2019
11297,06,44574,2019
7932,06,60102,2019
6058,06,59962,2019
,06,10046,2019
23691,22,50115,2019
14831,19,73335,2019
16249,19,19000,2019
19216,12,69700,2019
15185,09,18430,2019
25421,09,52000,2019
15984,09,73000,2019
40204,12,63000,2019
10279,17,51622,2019
15808,17,59000,2019
16379,17,18823,2019
78965,25,07000,2019
8704,25,62535,2019
27179,25,67000,2019
10623,25,24960,2019
8802,06,78582,2019
18429,06,72016,2019
11660,06,39486,2019
6257,06,24638,2019
67277,06,64000,2019
63869,04,77000,2019
5617,18,05860,2019
,19,02305,2019
21721,20,71000,2019
12503,12,17100,2019
20043,13,69000,2019
15436,12,16725,2019
10223,27,17000,2019
6436,26,80700,2019
,24,67675,2019
37469,21,46027,2019
100429,21,48006,2019
