state,year,white_alone,black_alone,american_indian_alaska_native_alone,asian_alone,native_hawaiian_pacific_islander_alone,other_race
CA,2023,8758848.0,1623323.0,342753.0,4522728.0,106054.0,9791079.0
LA,2023,470906.0,501154.0,6046.0,32196.0,225.0,151432.0
TX,2023,6464839.0,2221208.0,144570.0,1080009.0,24612.0,5658854.0
AK,2023,161986.0,14367.0,21597.0,26597.0,8802.0,52726.0
FL,2023,3891544.0,1697357.0,22063.0,299032.0,4824.0,2467578.0
MN,2023,1030332.0,238227.0,10134.0,149648.0,887.0,193483.0
UT,2023,880020.0,14458.0,12258.0,38835.0,16308.0,248028.0
WI,2023,858113.0,261749.0,13718.0,74805.0,614.0,262308.0
MI,2023,1066859.0,762273.0,9714.0,147096.0,1273.0,241889.0
MA,2023,1061332.0,306875.0,8097.0,235443.0,1684.0,596493.0
ME,2023,54280.0,4858.0,37.0,903.0,0.0,9026.0
DE,2023,22552.0,37281.0,40.0,1852.0,0.0,9947.0
DC,2023,263399.0,277432.0,1636.0,28224.0,724.0,107557.0
WA,2023,1721454.0,164893.0,24918.0,433706.0,26073.0,559666.0
KS,2023,784309.0,105629.0,9865.0,55696.0,2260.0,223916.0
MD,2023,487854.0,531815.0,10008.0,128839.0,575.0,218802.0
CO,2023,2220315.0,175711.0,37474.0,128035.0,6462.0,755810.0
VA,2023,1226261.0,704050.0,14264.0,142222.0,1963.0,370691.0
AR,2023,377535.0,122446.0,4955.0,21666.0,10575.0,171805.0
TN,2023,1129982.0,750805.0,13025.0,62558.0,2101.0,309557.0
IA,2023,643313.0,81207.0,4738.0,43536.0,1392.0,112237.0
KY,2023,650556.0,190224.0,2851.0,34890.0,225.0,140610.0
OH,2023,1220166.0,750648.0,8029.0,90970.0,2127.0,313899.0
NV,2023,1126640.0,267575.0,28622.0,264775.0,22733.0,791072.0
NM,2023,434982.0,27052.0,35079.0,24800.0,1561.0,351517.0
OK,2023,895703.0,178684.0,53342.0,67404.0,4421.0,352072.0
ID,2023,487935.0,8264.0,2969.0,14899.0,1547.0,105192.0
NJ,2023,356105.0,394273.0,26600.0,123458.0,595.0,609377.0
OR,2023,1024438.0,56324.0,10652.0,95007.0,8386.0,295915.0
CT,2023,341257.0,206790.0,5963.0,39959.0,2384.0,310489.0
HI,2023,55068.0,5983.0,374.0,179266.0,29755.0,71307.0
NH,2023,153039.0,8914.0,354.0,11682.0,0.0,32481.0
PA,2023,952158.0,718791.0,11853.0,154662.0,653.0,482044.0
AZ,2023,2904366.0,312120.0,116524.0,234628.0,12076.0,1558858.0
NE,2023,554884.0,67959.0,6891.0,29240.0,261.0,118877.0
PR,2023,165181.0,62406.0,2841.0,1953.0,53.0,627323.0
AL,2023,510739.0,529321.0,3252.0,35593.0,586.0,79872.0
ND,2023,169990.0,10852.0,6748.0,4699.0,0.0,15213.0
RI,2023,240209.0,38333.0,5201.0,18699.0,240.0,129058.0
IL,2023,1884446.0,947632.0,54901.0,388195.0,3040.0,1194161.0
NC,2023,1624962.0,975751.0,17250.0,207464.0,1682.0,569517.0
SC,2023,412193.0,166722.0,2103.0,21364.0,299.0,60545.0
MT,2023,170225.0,1028.0,5807.0,1853.0,52.0,19672.0
GA,2023,761752.0,869529.0,4537.0,105945.0,2805.0,211569.0
NY,2023,3321704.0,2164632.0,83272.0,1306842.0,5831.0,2611034.0
SD,2023,222783.0,16164.0,12493.0,6459.0,0.0,27915.0
MS,2023,54084.0,144914.0,719.0,1563.0,0.0,15177.0
MO,2023,1011329.0,310113.0,5415.0,44478.0,3862.0,178594.0
WY,2023,51846.0,1055.0,661.0,1302.0,12.0,10287.0
